Timestamp,How much have you currently spent?,How often do you play?,What are your spending habits?,When do you usually spend(orbs) on a banner? (just any given banner in general),How fast do you complete quests,How do you go about getting orb rewards,Have you let pity rates over 4.25 die?,"There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are 2 or 1, what do you choose"
2018/03/23 7:28:31 PM EST,1,2,1,3,1,0,2,100,1,1,1
2018/03/23 7:30:22 PM EST,1,2,1,3,0,0,0,150,1,0,2
2018/03/23 7:31:06 PM EST,0,2,0,1,0,1,1,0,0,0,0
2018/03/23 7:31:28 PM EST,1,2,1,1,0,0,0,5,1,0,0
2018/03/23 7:31:35 PM EST,1,2,1,4,1,0,0,0,0,0,0
2018/03/23 7:35:04 PM EST,1,2,0,2,0,0,1,8,1,0,2
2018/03/23 7:35:56 PM EST,1,2,2,2,0,1,1,40,1,0,1
2018/03/23 7:36:14 PM EST,1,2,1,2,0,0,3,100,1,0,1
2018/03/23 7:36:37 PM EST,1,2,1,1,1,0,0,0,0,0,0
2018/03/23 7:37:12 PM EST,0,2,0,2,0,0,0,200,0,0,0
2018/03/23 7:39:28 PM EST,1,2,1,1,1,0,2,50,1,0,2
2018/03/23 7:40:19 PM EST,0,0,0,2,2,0,3,30,0,0,2
2018/03/23 7:40:24 PM EST,1,2,2,3,0,0,2,20,1,0,2
2018/03/23 7:41:16 PM EST,1,2,1,3,1,0,1,40,0,0,0
2018/03/23 7:44:49 PM EST,1,2,1,1,1,0,2,70,1,0,1
2018/03/23 7:44:53 PM EST,1,0,1,2,1,0,0,150,0,0,0
2018/03/23 7:47:04 PM EST,1,2,0,1,0,1,1,100,0,0,0
2018/03/23 7:48:35 PM EST,1,2,1,4,1,0,2,35,1,0,2
2018/03/23 7:49:48 PM EST,1,2,1,1,0,0,0,140,1,0,2
2018/03/23 7:51:19 PM EST,1,0,1,1,1,0,1,60,1,0,0
2018/03/23 7:51:37 PM EST,1,2,1,1,1,1,2,300,1,1,2
2018/03/23 7:54:51 PM EST,1,2,2,2,0,1,1,60,1,0,0
2018/03/23 7:55:35 PM EST,0,2,0,2,1,1,1,20,0,0,0
2018/03/23 7:55:37 PM EST,1,2,2,2,1,0,3,100,1,0,2
2018/03/23 7:55:39 PM EST,1,2,1,0,1,0,1,40,0,0,0
2018/03/23 7:55:58 PM EST,1,2,1,3,1,0,0,40,1,0,1
2018/03/23 7:56:59 PM EST,1,2,2,0,0,1,2,100,1,0,1
2018/03/23 7:57:56 PM EST,0,2,0,2,0,1,0,25,0,0,0
2018/03/23 7:58:27 PM EST,1,2,1,2,1,0,0,60,1,0,2
2018/03/23 7:59:52 PM EST,1,2,1,1,1,0,2,70,1,1,2
2018/03/23 8:00:07 PM EST,1,1,1,3,0,0,0,40,1,0,1
2018/03/23 8:02:33 PM EST,1,0,1,1,1,0,2,100,1,0,2
2018/03/23 8:03:37 PM EST,0,2,0,0,1,0,0,50,0,0,0
2018/03/23 8:05:14 PM EST,1,2,1,3,0,0,0,50,1,0,0
2018/03/23 8:06:26 PM EST,1,2,2,0,1,0,2,80,1,0,1
2018/03/23 8:07:35 PM EST,0,2,0,1,0,1,0,50,0,0,1
2018/03/23 8:08:49 PM EST,1,2,1,1,1,0,0,5,0,0,0
2018/03/23 8:10:19 PM EST,1,1,1,4,0,1,2,0,1,1,2
2018/03/23 8:11:40 PM EST,1,2,1,2,0,1,3,100,0,0,0
2018/03/23 8:14:19 PM EST,1,2,1,2,0,0,0,75,1,0,0
